iter	Passed	Remaining
951	220877	127143
952	221110	126912
953	221324	126669
954	221538	126427
955	221740	126178
956	221949	125933
957	222126	125670
958	222341	125429
959	222553	125186
960	222771	124946
961	223027	124728
962	223258	124495
963	223478	124258
964	223700	124020
965	223934	123789
966	224151	123549
967	224360	123305
968	224589	123072
969	224812	122835
970	225050	122607
971	225272	122370
972	225499	122136
973	225718	121897
974	225956	121669
975	226196	121441
976	226402	121196
977	226639	120966
978	226860	120729
979	227071	120487
980	227257	120231
981	227467	119987
982	227688	119750
983	227925	119521
984	228117	119269
985	228365	119046
986	228616	118824
987	228850	118594
988	229078	118361
989	229296	118122
990	229508	117880
991	229738	117648
992	229950	117406
993	230180	117174
994	230449	116961
995	230670	116724
996	230910	116497
997	231155	116272
998	231382	116038
999	231606	115803
1000	231846	115575
1001	232077	115343
1002	232291	115103
1003	232535	114877
1004	232769	114647
1005	233037	114433
1006	233281	114208
1007	233501	113970
1008	233712	113729
1009	233962	113506
1010	234173	113265
1011	234416	113038
1012	234631	112799
1013	234845	112558
1014	235051	112315
1015	235259	112072
1016	235470	111830
1017	235691	111594
1018	235883	111344
1019	236118	111114
1020	236334	110875
1021	236550	110636
1022	236774	110402
1023	236962	110150
1024	237189	109917
1025	237436	109692
1026	237650	109453
1027	237881	109221
1028	238135	109000
1029	238343	108758
1030	238572	108525
1031	238782	108285
1032	239020	108056
1033	239261	107829
1034	239486	107595
1035	239714	107362
1036	239922	107120
1037	240135	106881
1038	240366	106649
1039	240606	106422
1040	240810	106178
1041	241077	105962
1042	241303	105729
1043	241536	105498
1044	241761	105264
1045	241971	105024
1046	242208	104795
1047	242460	104572
1048	242715	104351
1049	242936	104115
1050	243158	103880
1051	243391	103649
1052	243604	103410
1053	243816	103171
1054	244010	102923
1055	244199	102674
1056	244409	102434
1057	244629	102198
1058	244861	101967
1059	245070	101727
1060	245257	101478
1061	245476	101241
1062	245685	101001
1063	245923	100773
1064	246123	100529
1065	246349	100295
1066	246577	100063
1067	246834	99843
1068	247059	99609
1069	247303	99383
1070	247520	99146
1071	247736	98909
1072	247940	98667
1073	248168	98435
1074	248414	98210
1075	248647	97979
1076	248871	97746
1077	249120	97522
1078	249350	97290
1079	249580	97058
